[2026-09-09T08:12:30.551+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-09T08:12:30.625+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-09-09T08:12:21.034281+00:00 [queued]>
[2026-09-09T08:12:30.674+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-09-09T08:12:21.034281+00:00 [queued]>
[2026-09-09T08:12:30.678+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-09-09T08:12:30.755+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): staging_table> on 2026-09-09 08:12:21.034281+00:00
[2026-09-09T08:12:30.788+0000] {standard_task_runner.py:63} INFO - Started process 594 to run task
[2026-09-09T08:12:31.016+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'staging_table', 'manual__2026-09-09T08:12:21.034281+00:00', '--job-id', '29', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmp0yn0elhm']
[2026-09-09T08:12:31.022+0000] {standard_task_runner.py:91} INFO - Job 29: Subtask staging_table
[2026-09-09T08:12:31.486+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.staging_table manual__2026-09-09T08:12:21.034281+00:00 [running]> on host 539c327528e4
[2026-09-09T08:12:31.689+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='staging_table' AIRFLOW_CTX_EXECUTION_DATE='2026-09-09T08:12:21.034281+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-09T08:12:21.034281+00:00'
[2026-09-09T08:12:31.694+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-09T08:12:31.902+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-09T08:12:31.915+0000] {data_loading.py:10} INFO - processing file :yt_data2026-09-09
[2026-09-09T08:12:31.945+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-09T08:12:31.997+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-09T08:12:32.059+0000] {data_modification.py:53} INFO - updated row with video_id:a1hpoWWo16w
[2026-09-09T08:12:32.065+0000] {data_modification.py:53} INFO - updated row with video_id:xyV16N6Wj20
[2026-09-09T08:12:32.074+0000] {data_modification.py:53} INFO - updated row with video_id:wERidUx5p8o
[2026-09-09T08:12:32.081+0000] {data_modification.py:53} INFO - updated row with video_id:i1WfpuZErcM
[2026-09-09T08:12:32.089+0000] {data_modification.py:53} INFO - updated row with video_id:Oss-6cGsWs0
[2026-09-09T08:12:32.098+0000] {data_modification.py:53} INFO - updated row with video_id:IDeq2yJsyqg
[2026-09-09T08:12:32.112+0000] {data_modification.py:53} INFO - updated row with video_id:EbJcMAfEg0o
[2026-09-09T08:12:32.119+0000] {data_modification.py:53} INFO - updated row with video_id:IRi6AEqhq1Q
[2026-09-09T08:12:32.124+0000] {data_modification.py:53} INFO - updated row with video_id:G-ywA1D9-9o
[2026-09-09T08:12:32.133+0000] {data_modification.py:53} INFO - updated row with video_id:yW47gxbsqXo
[2026-09-09T08:12:32.138+0000] {data_modification.py:53} INFO - updated row with video_id:YbF5kbALBLU
[2026-09-09T08:12:32.151+0000] {data_modification.py:53} INFO - updated row with video_id:2WD845pHIj8
[2026-09-09T08:12:32.162+0000] {data_modification.py:53} INFO - updated row with video_id:8xzx8eEytPE
[2026-09-09T08:12:32.170+0000] {data_modification.py:53} INFO - updated row with video_id:MzM84euAhxM
[2026-09-09T08:12:32.176+0000] {data_modification.py:53} INFO - updated row with video_id:skF52qeMq24
[2026-09-09T08:12:32.186+0000] {data_modification.py:53} INFO - updated row with video_id:8JhstIzUFSU
[2026-09-09T08:12:32.204+0000] {data_modification.py:53} INFO - updated row with video_id:YkSVPY6A3xI
[2026-09-09T08:12:32.211+0000] {data_modification.py:53} INFO - updated row with video_id:s3eFlxgyz8Y
[2026-09-09T08:12:32.216+0000] {data_modification.py:53} INFO - updated row with video_id:7sRTX72yA7c
[2026-09-09T08:12:32.222+0000] {data_modification.py:53} INFO - updated row with video_id:F5FZQD1mols
[2026-09-09T08:12:32.231+0000] {data_modification.py:53} INFO - updated row with video_id:agk-_PhCifo
[2026-09-09T08:12:32.237+0000] {data_modification.py:53} INFO - updated row with video_id:XfsHfFeEJUo
[2026-09-09T08:12:32.245+0000] {data_modification.py:53} INFO - updated row with video_id:vMHnYDTaED8
[2026-09-09T08:12:32.251+0000] {data_modification.py:53} INFO - updated row with video_id:1eRGC_ebu5I
[2026-09-09T08:12:32.259+0000] {data_modification.py:53} INFO - updated row with video_id:JSuWrvJGpXA
[2026-09-09T08:12:32.270+0000] {data_modification.py:53} INFO - updated row with video_id:oxo3GW_NK7U
[2026-09-09T08:12:32.278+0000] {data_modification.py:53} INFO - updated row with video_id:OxVa--mRy-s
[2026-09-09T08:12:32.287+0000] {data_modification.py:53} INFO - updated row with video_id:c0Q9xhuDGUM
[2026-09-09T08:12:32.294+0000] {data_modification.py:53} INFO - updated row with video_id:qNO5CZ6y7Sg
[2026-09-09T08:12:32.300+0000] {data_modification.py:53} INFO - updated row with video_id:wUalnjVyGFg
[2026-09-09T08:12:32.306+0000] {data_modification.py:53} INFO - updated row with video_id:lC3CslH1Jk0
[2026-09-09T08:12:32.314+0000] {data_modification.py:53} INFO - updated row with video_id:BRV8sVfAYes
[2026-09-09T08:12:32.322+0000] {data_modification.py:53} INFO - updated row with video_id:TFb5VZbTWW8
[2026-09-09T08:12:32.329+0000] {data_modification.py:53} INFO - updated row with video_id:5otzIsTRAVs
[2026-09-09T08:12:32.336+0000] {data_modification.py:53} INFO - updated row with video_id:FfAKSF-BsuE
[2026-09-09T08:12:32.343+0000] {data_modification.py:53} INFO - updated row with video_id:SKwDxy_sYGg
[2026-09-09T08:12:32.347+0000] {data_modification.py:53} INFO - updated row with video_id:9IK7SHy2EqM
[2026-09-09T08:12:32.354+0000] {data_modification.py:53} INFO - updated row with video_id:d1p87GyuI-4
[2026-09-09T08:12:32.362+0000] {data_modification.py:53} INFO - updated row with video_id:e_bOcDQSXfs
[2026-09-09T08:12:32.368+0000] {data_modification.py:53} INFO - updated row with video_id:DS5S02PItCg
[2026-09-09T08:12:32.374+0000] {data_modification.py:53} INFO - updated row with video_id:_op31YCic1c
[2026-09-09T08:12:32.380+0000] {data_modification.py:53} INFO - updated row with video_id:lG0Ti2QmcnA
[2026-09-09T08:12:32.386+0000] {data_modification.py:53} INFO - updated row with video_id:Kt7Qc-yd2C0
[2026-09-09T08:12:32.393+0000] {data_modification.py:53} INFO - updated row with video_id:9VbzTx6a6Zw
[2026-09-09T08:12:32.399+0000] {data_modification.py:53} INFO - updated row with video_id:huWjmj9lkHU
[2026-09-09T08:12:32.404+0000] {data_modification.py:53} INFO - updated row with video_id:YwHccmbbOnY
[2026-09-09T08:12:32.409+0000] {data_modification.py:53} INFO - updated row with video_id:M4gCCt3UpcE
[2026-09-09T08:12:32.418+0000] {data_modification.py:53} INFO - updated row with video_id:5f3Q67DGtc4
[2026-09-09T08:12:32.423+0000] {data_modification.py:53} INFO - updated row with video_id:LM-v9I2QBks
[2026-09-09T08:12:32.431+0000] {data_modification.py:53} INFO - updated row with video_id:6BSLjhKQEBs
[2026-09-09T08:12:32.438+0000] {data_modification.py:53} INFO - updated row with video_id:nifgXMP448M
[2026-09-09T08:12:32.445+0000] {data_modification.py:53} INFO - updated row with video_id:1Fv8GCjK94s
[2026-09-09T08:12:32.455+0000] {data_modification.py:53} INFO - updated row with video_id:Pd9QVyZJrFw
[2026-09-09T08:12:32.463+0000] {data_modification.py:53} INFO - updated row with video_id:NkesgkugFJc
[2026-09-09T08:12:32.469+0000] {data_modification.py:53} INFO - updated row with video_id:JSN5fRIsj7o
