[2026-09-09T14:59:12.006+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-09T14:59:12.090+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-09-09T14:58:12.046145+00:00 [queued]>
[2026-09-09T14:59:12.125+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-09-09T14:58:12.046145+00:00 [queued]>
[2026-09-09T14:59:12.136+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-09-09T14:59:12.192+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): core_table> on 2026-09-09 14:58:12.046145+00:00
[2026-09-09T14:59:12.225+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'core_table', 'manual__2026-09-09T14:58:12.046145+00:00', '--job-id', '44', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmpqzz94qy_']
[2026-09-09T14:59:12.214+0000] {standard_task_runner.py:63} INFO - Started process 137 to run task
[2026-09-09T14:59:12.232+0000] {standard_task_runner.py:91} INFO - Job 44: Subtask core_table
[2026-09-09T14:59:12.394+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.core_table manual__2026-09-09T14:58:12.046145+00:00 [running]> on host 38df0d50f382
[2026-09-09T14:59:12.744+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='core_table' AIRFLOW_CTX_EXECUTION_DATE='2026-09-09T14:58:12.046145+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-09T14:58:12.046145+00:00'
[2026-09-09T14:59:12.769+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-09T14:59:12.821+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-09T14:59:12.933+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-09T14:59:13.016+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-09T14:59:13.154+0000] {data_modification.py:53} INFO - updated row with video_id:wERidUx5p8o
[2026-09-09T14:59:13.167+0000] {data_modification.py:53} INFO - updated row with video_id:i1WfpuZErcM
[2026-09-09T14:59:13.174+0000] {data_modification.py:53} INFO - updated row with video_id:Oss-6cGsWs0
[2026-09-09T14:59:13.187+0000] {data_modification.py:53} INFO - updated row with video_id:IDeq2yJsyqg
[2026-09-09T14:59:13.195+0000] {data_modification.py:53} INFO - updated row with video_id:EbJcMAfEg0o
[2026-09-09T14:59:13.202+0000] {data_modification.py:53} INFO - updated row with video_id:IRi6AEqhq1Q
[2026-09-09T14:59:13.216+0000] {data_modification.py:53} INFO - updated row with video_id:G-ywA1D9-9o
[2026-09-09T14:59:13.232+0000] {data_modification.py:53} INFO - updated row with video_id:yW47gxbsqXo
[2026-09-09T14:59:13.287+0000] {data_modification.py:53} INFO - updated row with video_id:YbF5kbALBLU
[2026-09-09T14:59:13.329+0000] {data_modification.py:53} INFO - updated row with video_id:2WD845pHIj8
[2026-09-09T14:59:13.336+0000] {data_modification.py:53} INFO - updated row with video_id:8xzx8eEytPE
[2026-09-09T14:59:13.342+0000] {data_modification.py:53} INFO - updated row with video_id:MzM84euAhxM
[2026-09-09T14:59:13.350+0000] {data_modification.py:53} INFO - updated row with video_id:skF52qeMq24
[2026-09-09T14:59:13.356+0000] {data_modification.py:53} INFO - updated row with video_id:8JhstIzUFSU
[2026-09-09T14:59:13.363+0000] {data_modification.py:53} INFO - updated row with video_id:YkSVPY6A3xI
[2026-09-09T14:59:13.369+0000] {data_modification.py:53} INFO - updated row with video_id:s3eFlxgyz8Y
[2026-09-09T14:59:13.393+0000] {data_modification.py:53} INFO - updated row with video_id:7sRTX72yA7c
[2026-09-09T14:59:13.413+0000] {data_modification.py:53} INFO - updated row with video_id:agk-_PhCifo
[2026-09-09T14:59:13.423+0000] {data_modification.py:53} INFO - updated row with video_id:XfsHfFeEJUo
